food_code,food_group,food_name,edible_factor,energy_kj,energy_kcal,water_g,protein_g,fat_g,carbohydrate_g,fibre_g,ash_g,ca_mg,fe_mg,mg_mg,p_mg,k_mg,na_mg,zn_mg,se_mcg,vit_a_rae_mcg,vit_a_re_mcg,retinol_mcg,beta_carotene_mcg,thiamin_mg,riboflavin_mg,niacin_mg,folate_dfe_mcg,food_folate_mcg,vit_b12_mcg,vit_c_mg
04092,04 VEGETABLE AND VEGETABLE PROCUCTS,"Squash, butternut, peeled, flesh, boiled, drained (without salt)",1.0,204.0,48.0,85.7,1.6,0.1,8.8,2.8,0.9,19.0,0.8,11.0,20.0,186.0,7.0,0.16,1.0,162.0,324.0,0.0,1940.0,0.05,0.04,0.7,18.0,18.0,0.0,6.0
04093,04 VEGETABLES AND VEGETABLE PRODUCTS,"Squash, butternut, peeled, flesh, steamed (without salt)",,,,,,,,,,19.0,0.9,16.0,21.0,317.0,7.0,0.2,1.0,162.0,324.0,0.0,1940.0,0.06,0.06,0.9,21.0,21.0,0.0,7.0
04094,04 VEGETABLE AND VEGETABLE PROCUCTS,"Squash, butternut, peeled, flesh, baked (without salt)",1.0,214.0,51.0,85.1,1.7,0.1,9.2,2.9,1.0,21.0,1.2,19.0,23.0,390.0,9.0,0.23,1.0,169.0,339.0,0.0,2030.0,0.07,0.06,1.1,26.0,26.0,0.0,8.0
04095,04 VEGETABLE AND VEGETABLE PROCUCTS,"Stinging nettle, leaves, boiled, drained (without salt)",1.0,237.0,56.0,81.1,5.1,0.7,6.4,2.0,4.7,604.0,5.2,76.0,105.0,250.0,26.0,0.49,2.0,0.0,0.0,0.0,0.0,0.02,0.19,0.7,218.0,218.0,0.0,2.0
04096,04 VEGETABLES AND VEGETABLE PRODUCTS,"Stinging nettle, leaves, steamed (without salt)",,,,,,,,,,552.0,5.0,104.0,101.0,387.0,27.0,0.54,2.0,0.0,0.0,0.0,0.0,0.03,0.24,0.7,238.0,238.0,0.0,2.0
04097,04 VEGETABLE AND VEGETABLE PROCUCTS,"Tomato, green, boiled, drained (without salt)",1.0,121.0,29.0,91.3,1.4,0.3,4.2,2.1,0.8,10.0,0.4,10.0,26.0,144.0,13.0,0.15,10.0,3.0,6.0,0.0,37.0,0.07,0.04,0.4,6.0,6.0,0.0,14.0
04098,04 VEGETABLE AND VEGETABLE PROCUCTS,"Tomato, red, ripe, boiled, drained (without salt)",1.0,118.0,28.0,91.8,1.3,0.3,4.2,1.8,0.7,10.0,0.8,7.0,28.0,81.0,20.0,0.35,0.0,30.0,61.0,0.0,365.0,0.04,0.04,0.5,16.0,16.0,0.0,21.0
04099,04 VEGETABLES AND VEGETABLE PRODUCTS,"Vine (African) spinach, picked leaves, boiled, drained (without salt)",,,,,,,,,,267.0,8.6,25.0,53.0,234.0,6.0,0.36,0.0,175.0,349.0,0.0,2100.0,0.04,0.14,0.6,38.0,38.0,0.0,34.0
05001,05 FRUITS,"Apple, green skin, unpeeled, raw",,,,,,,,,,6.0,0.4,4.0,10.0,99.0,2.0,0.07,1.0,,,,,,,,,,,
05002,05 FRUITS,"Apple, red, unpeeled, raw",0.9,239.0,57.0,84.6,0.3,0.1,12.4,2.3,0.25,6.0,0.3,4.0,9.0,100.0,1.0,0.07,1.0,1.0,2.0,0.0,14.0,0.02,0.01,0.13,5.0,5.0,0.0,4.0
05003,05 FRUITS,"Avocado, ripe, raw",,,,,,,,,,19.0,1.0,25.0,41.0,281.0,7.0,0.39,0.0,,,,,,,,,,,
05004,05 FRUITS,"Banana, cavendish, raw",0.62,402.0,95.0,74.4,1.08,0.3,20.6,2.75,0.9,10.0,0.3,26.0,37.0,187.0,0.0,0.36,0.0,5.0,9.0,0.0,56.0,0.05,0.05,0.35,22.0,22.0,0.0,4.0
05005,05 FRUITS,"Baobab fruit, powderly part, dry, raw",,,,,,,,,,283.0,5.0,108.0,56.0,1613.0,56.0,0.88,24.0,,,,,,,,,,,
05006,05 FRUITS,"Custard apple, peeled, raw",0.72,386.0,92.0,75.0,1.7,0.7,17.0,5.1,0.8,28.0,0.4,38.0,22.0,278.0,3.0,0.0,0.0,0.0,0.0,0.0,0.0,0.07,0.13,0.7,37.0,37.0,0.0,22.0
05007,05 FRUITS,"Date, dried",,,,,,,,,,82.0,2.6,50.0,72.0,730.0,14.0,0.6,3.0,,,,,,,,,,,
05008,05 FRUITS,"Date, raw",0.86,645.0,152.0,60.2,1.6,0.1,35.3,1.8,1.0,34.0,0.3,24.0,28.0,410.0,7.0,0.2,1.0,2.0,3.0,0.0,20.0,0.06,0.07,0.7,25.0,25.0,0.0,22.0
05009,05 FRUITS,"Doumpalm fruit, raw",,,,,,,,,,73.0,18.0,53.0,45.0,862.0,0.47,3.4,,,,,,,,,,,,
05010,05 FRUITS,"Grapes, green, raw",0.95,302.0,71.0,80.7,0.6,0.1,16.0,2.0,0.6,14.0,0.3,7.1,24.0,171.0,3.0,0.1,0.0,2.0,5.0,0.0,29.0,0.03,0.03,0.2,4.0,4.0,0.0,14.0
05011,05 FRUITS,"Guava, pink-fleshed, raw",,,,,,,,,,20.0,0.4,18.0,31.0,334.0,1.0,0.26,0.0,,,,,,,,,,,
05012,05 FRUITS,"Jackfruit, fruit, yellow-fleshed, peeled, raw",0.23,403.0,95.0,73.2,1.4,0.2,20.5,2.8,1.9,35.0,0.0,32.0,23.0,279.0,2.0,0.76,0.0,7.0,15.0,0.0,90.0,0.07,0.13,0.7,19.0,19.0,0.0,7.0
05013,05 FRUITS,"Lemon, juice, home squeezed",,,,,,,,,,20.0,0.3,12.0,10.0,120.0,2.0,0.0,0.0,,,,,,,,,,,
05014,05 FRUITS,"Lemon peel, raw",1.0,213.0,52.0,81.6,1.5,0.3,5.4,10.6,0.6,134.0,0.8,15.0,12.0,160.0,6.0,0.25,1.0,3.0,5.0,0.0,30.0,0.06,0.08,0.4,13.0,13.0,0.0,129.0
05015,05 FRUITS,"Lemon, pulp, raw",,,,,,,,,,33.0,0.3,15.0,16.0,120.0,2.0,0.1,0.0,,,,,,,,,,,
05016,05 FRUITS,"Lime, juice",1.0,125.0,30.0,90.3,0.7,0.2,4.3,4.1,0.4,26.0,0.3,11.0,20.0,150.0,3.0,0.0,0.0,2.0,5.0,0.0,28.0,0.03,0.02,0.2,6.0,6.0,0.0,41.0
05017,05 FRUITS,"Lime, pulp, raw",,,,,,,,,,22.0,0.0,11.0,20.0,150.0,3.0,0.1,0.0,,,,,,,,,,,
05018,05 FRUITS,"Loquat, peeled, raw",0.75,214.0,51.0,84.6,0.62,0.2,9.5,4.51,0.7,13.0,0.5,13.0,20.0,180.0,2.0,0.22,0.0,45.0,89.0,0.0,537.0,0.02,0.04,0.3,14.0,14.0,0.0,4.1
05019,05 FRUITS,"Mango, ripe, raw",,,,,,,,,,14.0,0.2,9.0,17.0,186.0,1.0,0.14,1.0,,,,,,,,,,,
05020,05 FRUITS,"Mango, unripe, raw",0.72,192.0,45.0,86.7,0.8,0.1,8.9,3.0,0.6,27.0,0.4,18.0,15.0,147.0,26.0,0.09,0.0,7.0,13.0,0.0,78.0,0.02,0.03,0.26,26.0,26.0,0.0,88.0
05021,05 FRUITS,"Mulberry, raw",,,,,,,,,,55.0,1.2,19.0,40.0,310.0,6.0,0.2,1.0,,,,,,,,,,,
05022,05 FRUITS,"Orange, Juice",1.0,77.0,18.0,94.6,0.4,0.1,3.6,1.1,0.4,21.0,0.7,11.0,20.0,146.0,2.0,0.08,0.0,3.0,7.0,0.0,42.0,0.06,0.02,0.1,44.0,44.0,0.0,64.0
05023,05 FRUITS,"Orange, pulp, raw",,,,,,,,,,23.0,0.2,10.0,13.0,165.0,5.0,0.05,0.0,,,,,,,,,,,
